Country,Region,Population,Area_In_Sq_mi,Population_Density_Sq_Mi,Net_Migration,Infant_Mortality_per_1000_Births,GDP_Per_Capita,Literacy_Percent,Phones_per_1000,Arable_Percent,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,ASIA (EX. NEAR EAST)         ,31056997,647500,48,23.06,163.07,700,36,3.2,12.13,46.6,20.34,0.38,0.24,0.38
Albania,EASTERN EUROPE                     ,3581655,28748,124.6,-4.93,21.52,4500,86.5,71.2,21.09,15.11,5.22,0.232,0.188,0.579
Algeria,NORTHERN AFRICA                    ,32930091,2381740,13.8,-0.39,31,6000,70,78.1,3.22,17.14,4.61,0.101,0.6,0.298
American Samoa,OCEANIA                            ,57794,199,290.4,-20.71,9.27,8000,97,259.5,10,22.46,3.27,,,
Andorra,WESTERN EUROPE                     ,71201,468,152.1,6.6,4.05,19000,100,497.2,2.22,8.71,6.25,,,
Angola,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0,191.19,1900,42,7.8,2.41,45.11,24.2,0.096,0.658,0.246
Anguilla,LATIN AMER. & CARIB    ,13477,102,132.1,10.76,21.03,8600,95,460,0,14.17,5.34,0.04,0.18,0.78
Antigua & Barbuda,LATIN AMER. & CARIB    ,69108,443,156,-6.15,19.46,11000,89,549.9,18.18,16.93,5.37,0.038,0.22,0.743
Argentina,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.61,15.18,11200,97.1,220.4,12.31,16.73,7.55,0.095,0.358,0.547
Armenia,C.W. OF IND. STATES ,2976372,29800,99.9,-6.47,23.28,3500,98.6,195.7,17.55,12.07,8.23,0.239,0.343,0.418
Aruba,LATIN AMER. & CARIB    ,71891,193,372.5,0,5.89,28000,97,516.1,10.53,11.03,6.68,0.004,0.333,0.663
Australia,OCEANIA                            ,20264082,7686850,2.6,3.98,4.69,29000,100,565.5,6.55,12.14,7.51,0.038,0.262,0.7
Austria,WESTERN EUROPE                     ,8192880,83870,97.7,2,4.66,30000,98,452.2,16.91,8.74,9.76,0.018,0.304,0.678
Azerbaijan,C.W. OF IND. STATES ,7961619,86600,91.9,-4.9,81.74,3400,97,137.1,19.63,20.74,9.75,0.141,0.457,0.402
"Bahamas, The",LATIN AMER. & CARIB    ,303770,13940,21.8,-2.2,25.21,16700,95.6,460.6,0.8,17.57,9.05,0.03,0.07,0.9
Bahrain,NEAR EAST                          ,698585,665,1050.5,1.05,17.27,16900,89.1,281.3,2.82,17.8,4.14,0.005,0.387,0.608
Bangladesh,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,-0.71,62.6,1900,43.1,7.3,62.11,29.8,8.27,0.199,0.198,0.603
Barbados,LATIN AMER. & CARIB    ,279912,431,649.5,-0.31,12.5,15700,97.4,481.9,37.21,12.71,8.67,0.06,0.16,0.78
Belarus,C.W. OF IND. STATES ,10293011,207600,49.6,2.54,13.37,6100,99.6,319.1,29.55,11.16,14.02,0.093,0.316,0.591
Belgium,WESTERN EUROPE                     ,10379067,30528,340,1.23,4.68,29100,98,462.6,23.28,10.38,10.27,0.01,0.24,0.749
Belize,LATIN AMER. & CARIB    ,287730,22966,12.5,0,25.69,4900,94.1,115.7,2.85,28.84,5.72,0.142,0.152,0.612
Benin,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0,85,1100,40.9,9.7,18.08,38.85,12.22,0.316,0.138,0.546
Bermuda,NORTHERN AMERICA                   ,65773,53,1241,2.49,8.53,36000,98,851.4,20,11.4,7.74,0.01,0.1,0.89
Bhutan,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0,100.44,1300,42.2,14.3,3.09,33.65,12.7,0.258,0.379,0.363
Bolivia,LATIN AMER. & CARIB    ,8989046,1098580,8.2,-1.32,53.11,2400,87.2,71.9,2.67,23.3,7.53,0.128,0.352,0.52
Bosnia & Herzegovina,EASTERN EUROPE                     ,4498976,51129,88,0.31,21.05,6100,,215.4,13.6,8.77,8.27,0.142,0.308,0.55
Botswana,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,0,54.58,9000,79.8,80.5,0.65,23.08,29.5,0.024,0.469,0.507
Brazil,LATIN AMER. & CARIB    ,188078227,8511965,22.1,-0.03,29.61,7600,86.4,225.3,6.96,16.56,6.17,0.084,0.4,0.516
British Virgin Is.,LATIN AMER. & CARIB    ,23098,153,151,10.01,18.05,16000,97.8,506.5,20,14.89,4.42,0.018,0.062,0.92
Brunei,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,3.59,12.61,18600,93.9,237.2,0.57,18.79,3.45,0.036,0.561,0.403
Bulgaria,EASTERN EUROPE                     ,7385367,110910,66.6,-4.58,20.55,7600,98.6,336.3,40.02,9.65,14.27,0.093,0.304,0.603
Burkina Faso,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0,97.57,1100,26.6,7,14.43,45.62,15.6,0.322,0.196,0.482
Burma,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,-1.8,67.24,1800,85.3,10.1,15.19,17.91,9.83,0.564,0.082,0.353
Burundi,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,-0.06,69.29,600,51.6,3.4,35.05,42.22,13.46,0.463,0.203,0.334
Cambodia,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0,71.48,1900,69.4,2.6,20.96,26.9,9.06,0.35,0.3,0.35
Cameroon,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0,68.26,1800,79,5.7,12.81,33.89,13.47,0.448,0.17,0.382
Canada,NORTHERN AMERICA                   ,33098932,9984670,3.3,5.96,4.75,29800,97,552.2,4.96,10.78,7.8,0.022,0.294,0.684
Cape Verde,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,-12.07,47.77,1400,76.6,169.6,9.68,24.87,6.55,0.121,0.219,0.66
Cayman Islands,LATIN AMER. & CARIB    ,45436,262,173.4,18.75,8.19,35000,98,836.3,3.85,12.74,4.89,0.014,0.032,0.954
Central African Rep.,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,0,91,1100,51,2.3,3.1,33.91,18.65,0.55,0.2,0.25
Chad,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,-0.11,93.82,1200,47.5,1.3,2.86,45.73,16.38,0.335,0.259,0.406
Chile,LATIN AMER. & CARIB    ,16134219,756950,21.3,0,8.8,9900,96.2,213,2.65,15.23,5.81,0.06,0.493,0.447
China,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,-0.4,24.18,5000,90.9,266.7,15.4,13.25,6.97,0.125,0.473,0.403
Colombia,LATIN AMER. & CARIB    ,43593035,1138910,38.3,-0.31,20.97,6300,92.5,176.2,2.42,20.48,5.58,0.125,0.342,0.533
Comoros,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,0,74.93,700,56.5,24.5,35.87,36.93,8.2,0.4,0.04,0.56
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0,94.69,700,65.5,0.2,2.96,43.69,13.27,0.55,0.11,0.34
"Congo, Repub. of the",SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,-0.17,93.86,700,83.8,3.7,0.51,42.57,12.93,0.062,0.57,0.369
Cook Islands,OCEANIA                            ,21388,240,89.1,,,5000,95,289.9,17.39,21,,0.151,0.096,0.753
Costa Rica,LATIN AMER. & CARIB    ,4075261,51100,79.8,0.51,9.95,9100,96,340.7,4.41,18.32,4.36,0.088,0.299,0.614
Cote d'Ivoire,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,-0.07,90.83,1400,50.9,14.6,9.75,35.11,14.84,0.279,0.171,0.55
Croatia,EASTERN EUROPE                     ,4494749,56542,79.5,1.58,6.84,10600,98.5,420.4,26.09,9.61,11.48,0.07,0.308,0.622
Cuba,LATIN AMER. & CARIB    ,11382820,110860,102.7,-1.58,6.33,2900,97,74.7,33.05,11.89,7.22,0.055,0.261,0.684
Cyprus,NEAR EAST                          ,784301,9250,84.8,0.43,7.18,19200,97.6,,7.79,12.56,7.68,0.037,0.198,0.765
Czech Republic,EASTERN EUROPE                     ,10235455,78866,129.8,0.97,3.93,15700,99.9,314.3,39.8,9.02,10.59,0.034,0.393,0.573
Denmark,WESTERN EUROPE                     ,5450661,43094,126.5,2.48,4.56,31100,100,614.6,54.02,11.13,10.36,0.018,0.246,0.735
Djibouti,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,0,104.13,1300,67.9,22.8,0.04,39.53,19.31,0.179,0.225,0.596
Dominica,LATIN AMER. & CARIB    ,68910,754,91.4,-13.87,14.15,5400,94,304.8,6.67,15.27,6.73,0.177,0.328,0.495
Dominican Republic,LATIN AMER. & CARIB    ,9183984,48730,188.5,-3.22,32.38,6000,84.7,97.4,22.65,23.22,5.73,0.112,0.306,0.582
East Timor,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,0,47.41,500,58.6,,4.71,26.99,6.24,0.085,0.231,0.684
Ecuador,LATIN AMER. & CARIB    ,13547510,283560,47.8,-8.58,23.66,3300,92.5,125.6,5.85,22.29,4.23,0.07,0.312,0.618
Egypt,NORTHERN AFRICA                    ,78887007,1001450,78.8,-0.22,32.59,4000,57.7,131.8,2.87,22.94,5.23,0.149,0.357,0.493
El Salvador,LATIN AMER. & CARIB    ,6822378,21040,324.3,-3.74,25.1,4800,80.2,142.4,31.85,26.61,5.78,0.099,0.302,0.599
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,0,85.13,2700,85.7,18.5,4.63,35.59,15.06,0.03,0.906,0.062
Eritrea,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,0,74.87,700,58.6,7.9,4.95,34.33,9.6,0.102,0.254,0.643
Estonia,BALTICS                            ,1324333,45226,29.3,-3.16,7.87,12300,99.8,333.8,16.04,10.04,13.25,0.04,0.294,0.666
Ethiopia,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0,95.32,700,42.7,8.2,10.71,37.98,14.86,0.475,0.099,0.426
Faroe Islands,WESTERN EUROPE                     ,47246,1399,33.8,1.41,6.24,22000,,503.8,2.14,14.05,8.7,0.27,0.11,0.62
Fiji,OCEANIA                            ,905949,18270,49.6,-3.14,12.62,5800,93.7,112.6,10.95,22.55,5.65,0.089,0.135,0.776
Finland,WESTERN EUROPE                     ,5231372,338145,15.5,0.95,3.57,27400,100,405.3,7.19,10.45,9.86,0.028,0.295,0.676
France,WESTERN EUROPE                     ,60876136,547030,111.3,0.66,4.26,27600,99,586.4,33.53,11.99,9.14,0.022,0.214,0.764
French Guiana,LATIN AMER. & CARIB    ,199509,91000,2.2,6.27,12.07,8300,83,255.6,0.14,20.46,4.88,0.066,0.156,0.778
French Polynesia,OCEANIA                            ,274578,4167,65.9,2.94,8.44,17500,98,194.5,0.82,16.68,4.69,0.031,0.19,0.769
Gabon,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,0,53.64,5500,63.2,27.4,1.26,36.16,12.25,0.061,0.592,0.348
"Gambia, The",SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,1.57,72.02,1700,40.1,26.8,25,39.37,12.25,0.308,0.142,0.549
Gaza Strip,NEAR EAST                          ,1428757,360,3968.8,1.6,22.93,600,,244.3,28.95,39.45,3.8,0.03,0.283,0.687
Georgia,C.W. OF IND. STATES ,4661473,69700,66.9,-4.7,18.59,2500,99,146.6,11.44,10.41,9.23,0.172,0.275,0.553
Germany,WESTERN EUROPE                     ,82422299,357021,230.9,2.18,4.16,27600,99,667.9,33.85,8.25,10.62,0.009,0.296,0.695
Ghana,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,-0.64,51.43,2200,74.8,14.4,16.26,30.52,9.72,0.366,0.246,0.387
Gibraltar,WESTERN EUROPE                     ,27928,7,3989.7,0,5.13,17500,,877.7,0,10.74,9.31,,,
Greece,WESTERN EUROPE                     ,10688058,131940,81,2.35,5.53,20000,97.5,589.7,21.1,9.68,10.24,0.054,0.213,0.733
Greenland,NORTHERN AMERICA                   ,56361,2166086,0,-8.37,15.82,20000,,448.9,0,15.93,7.84,,,
Grenada,LATIN AMER. & CARIB    ,89703,344,260.8,-13.92,14.62,5000,98,364.5,5.88,22.08,6.88,0.054,0.18,0.766
Guadeloupe,LATIN AMER. & CARIB    ,452776,1780,254.4,-0.15,8.6,8000,90,463.8,11.24,15.05,6.09,0.15,0.17,0.68
Guam,OCEANIA                            ,171019,541,316.1,0,6.94,21000,99,492,9.09,18.79,4.48,,,
Guatemala,LATIN AMER. & CARIB    ,12293545,108890,112.9,-1.67,35.93,4100,70.6,92.1,12.54,29.88,5.2,0.227,0.188,0.585
Guernsey,WESTERN EUROPE                     ,65409,78,838.6,3.84,4.71,20000,,842.4,,8.81,10.01,0.03,0.1,0.87
Guinea,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,-3.06,90.37,2100,35.9,2.7,3.63,41.76,15.48,0.237,0.362,0.401
Guinea-Bissau,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,-1.57,107.17,800,42.4,7.4,10.67,37.22,16.53,0.62,0.12,0.26
Guyana,LATIN AMER. & CARIB    ,767245,214970,3.6,-2.07,33.26,4000,98.8,143.5,2.44,18.28,8.28,0.37,0.203,0.427
Haiti,LATIN AMER. & CARIB    ,8308504,27750,299.4,-3.4,73.45,1600,52.9,16.9,28.3,36.44,12.17,0.28,0.2,0.52
Honduras,LATIN AMER. & CARIB    ,7326496,112090,65.4,-1.99,29.32,2600,76.2,67.5,9.55,28.24,5.28,0.139,0.312,0.549
Hong Kong,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,5.24,2.97,28800,93.5,546.7,5.05,7.29,6.29,0.001,0.092,0.906
Hungary,EASTERN EUROPE                     ,9981334,93030,107.3,0.86,8.57,13900,99.4,336.2,50.09,9.72,13.11,0.037,0.312,0.651
Iceland,WESTERN EUROPE                     ,299388,103000,2.9,2.38,3.31,30900,99.9,647.7,0.07,13.64,6.72,0.086,0.15,0.765
India,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,-0.07,56.29,2900,59.5,45.4,54.4,22.01,8.18,0.186,0.276,0.538
Indonesia,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,0,35.6,3200,87.9,52,11.32,20.34,6.25,0.134,0.458,0.408
Iran,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,-0.84,41.58,7000,79.4,276.4,8.72,17,5.55,0.116,0.424,0.46
Iraq,NEAR EAST                          ,26783383,437072,61.3,0,50.25,1500,40.4,38.6,13.15,31.98,5.37,0.073,0.666,0.261
Ireland,WESTERN EUROPE                     ,4062235,70280,57.8,4.99,5.39,29600,98,500.5,15.2,14.45,7.82,0.05,0.46,0.49
Isle of Man,WESTERN EUROPE                     ,75441,572,131.9,5.36,5.93,21000,,676,9,11.05,11.19,0.01,0.13,0.86
Israel,NEAR EAST                          ,6352117,20770,305.8,0.68,7.03,19800,95.4,462.3,16.39,17.97,6.18,0.026,0.317,0.657
Italy,WESTERN EUROPE                     ,58133509,301230,193,2.07,5.94,26700,98.6,430.9,27.79,8.72,10.4,0.021,0.291,0.688
Jamaica,LATIN AMER. & CARIB    ,2758124,10991,250.9,-4.92,12.36,3900,87.9,124,16.07,20.82,6.52,0.049,0.337,0.615
Japan,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,0,3.26,28200,99,461.2,12.19,9.37,9.16,0.017,0.258,0.725
Jersey,WESTERN EUROPE                     ,91084,116,785.2,2.76,5.24,24800,,811.3,0,9.3,9.28,0.05,0.02,0.93
Jordan,NEAR EAST                          ,5906760,92300,64,6.59,17.35,4300,91.3,104.5,2.67,21.25,2.65,0.033,0.287,0.68
Kazakhstan,C.W. OF IND. STATES ,15233244,2717300,5.6,-3.35,29.21,6300,98.4,164.1,7.98,16,9.42,0.067,0.386,0.547
Kenya,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,-0.1,61.47,1000,85.1,8.1,8.08,39.72,14.02,0.163,0.188,0.651
Kiribati,OCEANIA                            ,105432,811,130,0,48.52,800,,42.7,2.74,30.65,8.26,0.089,0.242,0.668
"Korea, North",ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,0,24.04,1300,99,42.4,20.76,15.54,7.13,0.3,0.34,0.36
"Korea, South",ASIA (EX. NEAR EAST)         ,48846823,98480,496,0,7.05,17800,97.9,486.1,17.18,10,5.85,0.033,0.403,0.563
Kuwait,NEAR EAST                          ,2418393,17820,135.7,14.18,9.95,19000,83.5,211,0.73,21.94,2.41,0.004,0.479,0.516
